,Date,Energy Required (MU),temp,rain
361,2015-12-28,126.667,26.0,0.0
362,2015-12-29,129.613,25.0,0.0
363,2015-12-30,131.113,27.0,0.0
364,2015-12-31,135.176,27.0,0.0
365,2016-01-01,132.151,27.0,0.0
366,2016-01-02,129.398,27.0,0.0
367,2016-01-03,128.672,27.0,0.0
368,2016-01-04,129.309,26.0,0.1
369,2016-01-05,140.611,27.0,0.0
370,2016-01-06,136.571,27.0,0.0
371,2016-01-07,135.24,26.0,0.0
372,2016-01-08,136.239,26.0,0.0
373,2016-01-09,138.155,27.0,0.0
374,2016-01-10,127.466,26.0,0.0
375,2016-01-11,134.782,27.0,0.0
376,2016-01-12,135.946,27.0,0.0
377,2016-01-13,136.332,26.0,0.0
378,2016-01-14,131.787,26.0,0.0
379,2016-01-15,124.183,26.0,0.0
380,2016-01-16,120.477,26.0,0.0
381,2016-01-17,120.311,26.0,0.0
382,2016-01-18,126.592,26.0,0.0
383,2016-01-19,127.068,27.0,0.3
384,2016-01-20,126.851,23.0,0.2
385,2016-01-21,132.507,26.0,1.3
386,2016-01-22,125.821,25.0,1.5
387,2016-01-23,127.297,26.0,0.0
388,2016-01-24,119.911,26.0,0.1
389,2016-01-25,130.998,26.0,0.1
390,2016-01-26,131.219,27.0,0.1
391,2016-01-27,133.984,27.0,0.0
392,2016-01-28,139.446,28.0,0.0
393,2016-01-29,143.139,28.0,0.0
394,2016-01-30,140.629,29.0,0.0
395,2016-01-31,134.04,30.0,0.0
396,2016-02-01,137.351,29.0,0.0
397,2016-02-02,141.51,29.0,0.0
398,2016-02-03,143.015,28.0,0.0
399,2016-02-04,143.508,29.0,0.0
400,2016-02-05,136.858,28.0,0.0
401,2016-02-06,137.666,28.0,0.0
402,2016-02-07,135.27,28.0,0.0
403,2016-02-08,147.155,29.0,0.0
404,2016-02-09,144.964,29.0,0.0
405,2016-02-10,149.452,29.0,0.0
406,2016-02-11,147.76,29.0,0.0
407,2016-02-12,149.036,29.0,0.0
408,2016-02-13,145.678,29.0,0.0
409,2016-02-14,140.861,29.0,0.0
410,2016-02-15,145.714,29.0,0.0
411,2016-02-16,143.648,29.0,0.0
412,2016-02-17,147.748,28.0,0.0
413,2016-02-18,148.575,29.0,0.0
414,2016-02-19,146.155,29.0,0.0
415,2016-02-20,147.772,31.0,0.0
416,2016-02-21,140.06,31.0,0.0
417,2016-02-22,148.895,31.0,0.0
418,2016-02-23,153.142,30.0,0.0
419,2016-02-24,154.555,29.0,0.0
420,2016-02-25,152.733,30.0,0.0
421,2016-02-26,154.529,29.0,0.1
422,2016-02-27,152.877,30.0,0.0
423,2016-02-28,148.929,30.0,0.0
424,2016-02-29,149.066,30.0,0.0
425,2016-03-01,150.788,31.0,0.1
426,2016-03-02,151.573,31.0,0.0
427,2016-03-03,152.599,31.0,0.0
428,2016-03-04,152.161,31.0,0.0
429,2016-03-05,153.471,31.0,0.0
430,2016-03-06,153.527,30.0,0.0
431,2016-03-07,151.618,30.0,0.0
432,2016-03-08,151.381,30.0,0.0
433,2016-03-09,152.925,31.0,0.0
434,2016-03-10,154.246,31.0,0.0
435,2016-03-11,155.173,31.0,0.0
436,2016-03-12,153.846,31.0,0.0
437,2016-03-13,151.544,32.0,0.0
438,2016-03-14,151.494,32.0,0.0
439,2016-03-15,152.588,31.0,0.0
440,2016-03-16,155.754,32.0,0.6
441,2016-03-17,156.421,32.0,0.0
442,2016-03-18,156.98,32.0,0.0
443,2016-03-19,159.097,33.0,0.0
444,2016-03-20,156.826,35.0,0.0
445,2016-03-21,159.605,36.0,0.0
446,2016-03-22,160.494,36.0,0.0
447,2016-03-23,162.09,35.0,0.0
448,2016-03-24,160.444,33.0,0.0
449,2016-03-25,157.859,32.0,0.0
450,2016-03-26,156.477,32.0,0.0
451,2016-03-27,150.731,32.0,0.0
452,2016-03-28,151.781,31.0,0.0
453,2016-03-29,153.358,32.0,0.0
454,2016-03-30,154.165,32.0,0.0
455,2016-03-31,156.271,33.0,0.0
456,2016-04-01,153.277,33.0,0.0
457,2016-04-02,154.258,33.0,0.0
458,2016-04-03,152.332,33.0,0.0
459,2016-04-04,155.461,34.0,0.0
460,2016-04-05,156.285,34.0,0.0
461,2016-04-06,153.891,34.0,0.0
462,2016-04-07,155.65,34.0,0.0
463,2016-04-08,154.041,33.0,0.0
464,2016-04-09,151.188,33.0,0.0
465,2016-04-10,149.265,34.0,0.0
466,2016-04-11,155.945,34.0,0.0
467,2016-04-12,156.555,34.0,0.0
468,2016-04-13,158.692,34.0,0.0
469,2016-04-14,161.583,34.0,0.0
470,2016-04-15,160.934,34.0,0.0
471,2016-04-16,157.512,35.0,1.0
472,2016-04-17,152.216,35.0,0.2
473,2016-04-18,154.707,36.0,0.0
474,2016-04-19,156.67,36.0,0.0
475,2016-04-20,158.272,36.0,0.0
476,2016-04-21,157.434,37.0,0.0
477,2016-04-22,156.185,38.0,0.0
478,2016-04-23,159.057,40.0,0.0
479,2016-04-24,152.917,39.0,0.0
480,2016-04-25,155.528,37.0,0.0
481,2016-04-26,158.825,35.0,0.0
482,2016-04-27,158.73,34.0,0.0
483,2016-04-28,161.993,36.0,0.0
484,2016-04-29,158.97,37.0,0.0
485,2016-04-30,158.943,37.0,0.0
486,2016-05-01,152.957,37.0,0.0
487,2016-05-02,155.484,38.0,0.0
488,2016-05-03,155.198,36.0,0.0
489,2016-05-05,143.355,35.0,3.0
490,2016-05-06,130.693,35.0,0.0
491,2016-05-07,140.88,35.0,0.0
492,2016-05-09,146.465,35.0,0.0
493,2016-05-10,150.69,35.0,0.0
494,2016-05-11,151.306,35.0,0.0
495,2016-05-12,148.542,36.0,0.0
496,2016-05-15,150.442,34.0,0.0
497,2016-05-17,144.656,34.0,0.9
498,2016-05-18,119.903,28.0,48.1
499,2016-05-19,101.272,38.0,8.1
500,2016-05-21,126.839,37.0,1.8
501,2016-05-22,134.984,38.0,0.0
502,2016-05-25,153.63,40.0,0.2
503,2016-05-26,153.767,40.0,0.0
504,2016-05-27,151.796,36.0,0.0
505,2016-05-28,147.86,32.0,1.3
506,2016-05-29,132.934,36.0,12.0
507,2016-05-30,143.627,36.0,0.8
508,2016-06-01,148.154,39.0,2.1
509,2016-06-02,129.565,36.0,1.3
510,2016-06-03,137.426,37.0,0.9
511,2016-06-04,125.653,34.0,1.6
512,2016-06-05,127.356,35.0,0.9
513,2016-06-06,130.863,34.0,6.7
514,2016-06-07,127.699,32.0,1.5
515,2016-06-08,119.645,32.0,4.7
516,2016-06-10,131.684,35.0,0.0
517,2016-06-11,132.749,35.0,0.0
518,2016-06-12,136.818,36.0,0.1
519,2016-06-14,146.28,37.0,0.0
520,2016-06-15,147.751,37.0,0.0
521,2016-06-16,154.511,34.0,0.6
522,2016-06-17,148.595,37.0,0.5
523,2016-06-18,138.808,29.0,8.5
524,2016-06-19,132.848,32.0,0.3
525,2016-06-20,128.195,34.0,0.3
526,2016-06-21,131.233,34.0,0.0
527,2016-06-22,133.449,35.0,2.9
528,2016-06-23,134.653,34.0,1.4
529,2016-06-25,130.33,33.0,0.0
530,2016-06-26,124.118,30.0,0.7
531,2016-06-30,115.705,29.0,4.2
532,2016-07-01,121.444,29.0,1.6
533,2016-07-02,125.991,32.0,5.0
534,2016-07-03,128.815,32.0,0.8
535,2016-07-04,137.819,33.0,1.4
536,2016-07-05,138.138,32.0,0.0
537,2016-07-06,140.716,34.0,0.2
538,2016-07-07,139.583,34.0,0.0
539,2016-07-08,136.379,33.0,2.3
540,2016-07-09,131.531,33.0,0.5
541,2016-07-10,132.231,33.0,0.0
542,2016-07-11,134.668,31.0,0.1
543,2016-07-12,144.37,34.0,0.0
544,2016-07-13,150.125,35.0,0.0
545,2016-07-14,155.026,35.0,0.0
546,2016-07-15,157.913,35.0,0.0
547,2016-07-18,142.752,31.0,1.9
548,2016-07-19,138.449,32.0,2.8
549,2016-07-20,136.395,31.0,5.5
550,2016-07-21,137.895,32.0,2.3
551,2016-07-23,139.817,32.0,1.5
552,2016-07-24,134.061,32.0,1.4
553,2016-07-26,132.938,33.0,1.1
554,2016-07-27,129.318,33.0,0.8
555,2016-07-28,129.281,33.0,0.0
556,2016-07-29,129.309,33.0,3.9
557,2016-07-31,123.812,30.0,3.3
558,2016-08-02,124.048,29.0,0.0
559,2016-08-03,127.988,30.0,4.5
560,2016-08-04,130.603,29.0,0.2
561,2016-08-05,136.286,32.0,0.0
562,2016-08-06,141.457,33.0,0.0
563,2016-08-09,157.995,34.0,0.8
564,2016-08-10,160.522,33.0,0.0
565,2016-08-11,165.4,34.0,2.6
566,2016-08-13,166.285,34.0,3.1
567,2016-08-14,163.685,33.0,1.7
568,2016-08-15,161.569,33.0,0.0
569,2016-08-16,160.462,32.0,0.0
570,2016-08-17,162.007,32.0,0.0
571,2016-08-18,169.252,34.0,0.0
572,2016-08-19,175.844,34.0,0.2
573,2016-08-20,176.125,34.0,0.0
574,2016-08-21,174.114,34.0,0.0
575,2016-08-22,177.515,34.0,0.2
576,2016-08-23,178.146,34.0,0.3
577,2016-08-24,173.692,34.0,4.1
578,2016-08-25,167.457,33.0,2.6
579,2016-08-26,162.736,32.0,9.9
580,2016-08-27,155.478,33.0,0.0
581,2016-08-28,151.502,32.0,0.8
582,2016-08-29,168.689,32.0,10.1
583,2016-08-30,154.32,30.0,3.9
584,2016-08-31,149.632,32.0,11.1
585,2016-09-02,151.856,32.0,4.5
586,2016-09-03,152.132,31.0,3.7
587,2016-09-04,153.245,30.0,1.7
588,2016-09-05,151.527,31.0,0.8
589,2016-09-06,158.545,32.0,0.0
590,2016-09-07,159.692,31.0,0.0
591,2016-09-08,169.271,32.0,0.1
592,2016-09-09,171.676,31.0,2.6
593,2016-09-10,162.371,30.0,0.3
594,2016-09-11,150.219,30.0,1.2
595,2016-09-12,148.334,29.0,1.6
596,2016-09-13,144.144,28.0,1.7
597,2016-09-14,140.982,29.0,6.5
598,2016-09-16,140.609,30.0,2.2
599,2016-09-17,143.058,31.0,2.0
600,2016-09-18,146.619,31.0,1.6
601,2016-09-19,153.558,31.0,2.0
602,2016-09-20,151.933,30.0,1.4
603,2016-09-21,138.029,28.0,3.7
604,2016-09-22,131.21,27.0,3.6
605,2016-09-23,133.292,28.0,4.3
606,2016-09-24,134.701,29.0,14.2
607,2016-09-25,135.018,29.0,8.3
608,2016-09-26,137.748,29.0,8.1
609,2016-09-27,141.614,30.0,2.4
610,2016-09-28,142.826,30.0,4.1
611,2016-09-29,140.956,31.0,0.1
612,2016-09-30,143.804,31.0,1.9
613,2016-10-01,141.452,29.0,2.7
614,2016-10-02,138.705,30.0,0.1
615,2016-10-03,143.727,30.0,1.1
616,2016-10-04,148.492,30.0,0.7
617,2016-10-05,149.673,30.0,1.0
618,2016-10-06,155.224,30.0,1.2
619,2016-10-07,158.087,30.0,2.6
620,2016-10-08,153.884,29.0,0.2
621,2016-10-09,146.79,29.0,2.9
622,2016-10-10,145.694,30.0,3.3
623,2016-10-11,143.377,31.0,0.1
624,2016-10-12,150.465,31.0,0.0
625,2016-10-13,155.399,30.0,0.0
626,2016-10-14,157.924,29.0,0.0
627,2016-10-15,157.26,28.0,0.0
628,2016-10-16,157.545,28.0,0.0
629,2016-10-17,160.986,28.0,0.0
630,2016-10-18,163.008,30.0,0.0
631,2016-10-19,165.275,28.0,0.0
632,2016-10-20,163.486,27.0,0.0
633,2016-10-21,162.356,27.0,0.0
634,2016-10-22,162.963,27.0,0.0
635,2016-10-23,161.444,27.0,0.0
636,2016-10-24,162.803,28.0,0.0
637,2016-10-25,163.838,29.0,0.0
638,2016-10-26,162.795,28.0,0.0
639,2016-10-27,163.114,28.0,0.0
640,2016-10-28,163.033,27.0,2.8
641,2016-10-29,166.022,28.0,3.1
642,2016-10-30,156.328,28.0,1.1
643,2016-10-31,156.69,28.0,5.4
644,2016-11-01,159.381,28.0,0.2
645,2016-11-02,160.492,28.0,0.1
646,2016-11-03,157.057,29.0,0.0
647,2016-11-04,160.39,29.0,0.0
648,2016-11-05,163.733,29.0,0.1
649,2016-11-06,162.752,29.0,0.1
650,2016-11-07,157.064,27.0,0.0
651,2016-11-08,161.305,25.0,0.0
652,2016-11-09,158.737,25.0,0.0
653,2016-11-10,156.87,25.0,0.0
654,2016-11-11,152.623,25.0,0.0
655,2016-11-12,157.678,26.0,0.0
656,2016-11-13,155.091,27.0,0.1
657,2016-11-14,158.009,27.0,2.8
658,2016-11-15,160.781,27.0,2.7
659,2016-11-16,160.496,28.0,0.6
660,2016-11-17,157.272,27.0,0.2
661,2016-11-19,152.992,25.0,0.0
662,2016-11-20,150.747,25.0,0.0
